ds,y,unique_id
0,906.6,platinum
1,930.2,platinum
2,947.75,platinum
3,974.1,platinum
4,972.85,platinum
5,973.2,platinum
6,979.7,platinum
7,979.3,platinum
8,977.8,platinum
9,980.8,platinum
10,987.75,platinum
11,989.5,platinum
12,985.7,platinum
13,981.7,platinum
14,966.2,platinum
15,960.7,platinum
16,981.8,platinum
17,985.65,platinum
18,984.3,platinum
19,997.2,platinum
20,988.55,platinum
21,980.5,platinum
22,988.45,platinum
23,989.5,platinum
24,992.1,platinum
25,999.25,platinum
26,1003.65,platinum
27,999.9,platinum
28,1006.85,platinum
29,1007.2,platinum
30,1016.85,platinum
31,1007.75,platinum
32,1017.75,platinum
33,1015.2,platinum
34,1014.3,platinum
35,1010.55,platinum
36,1000.85,platinum
37,1003.35,platinum
38,1012.35,platinum
39,1014.95,platinum
40,1006.35,platinum
41,1005.85,platinum
42,1007.0,platinum
43,1004.3,platinum
44,1004.85,platinum
45,1012.1,platinum
46,1031.05,platinum
47,1028.5,platinum
48,1031.95,platinum
49,1022.3,platinum
50,1018.05,platinum
51,993.95,platinum
52,1000.6,platinum
53,1001.75,platinum
54,980.6,platinum
55,963.8,platinum
56,951.45,platinum
57,936.5,platinum
58,943.9,platinum
59,943.95,platinum
60,939.15,platinum
61,939.1,platinum
62,958.9,platinum
63,958.65,platinum
64,965.8,platinum
65,966.65,platinum
66,972.85,platinum
67,972.6,platinum
68,962.35,platinum
69,962.95,platinum
70,966.35,platinum
71,973.6,platinum
72,970.6,platinum
73,956.75,platinum
74,959.2,platinum
75,952.2,platinum
76,953.4,platinum
77,956.95,platinum
78,962.65,platinum
79,963.1,platinum
80,965.3,platinum
81,959.9,platinum
82,956.8,platinum
83,956.15,platinum
84,945.8,platinum
85,971.7,platinum
86,976.05,platinum
87,976.1,platinum
88,984.65,platinum
89,983.7,platinum
90,979.95,platinum
91,970.2,platinum
92,979.7,platinum
93,974.65,platinum
94,972.65,platinum
95,966.45,platinum
96,956.95,platinum
97,951.85,platinum
98,948.15,platinum
99,948.15,platinum
100,950.5,platinum
101,934.8,platinum
102,928.5,platinum
103,898.95,platinum
104,904.85,platinum
105,914.4,platinum
106,924.35,platinum
107,919.45,platinum
108,907.1,platinum
109,910.45,platinum
110,919.1,platinum
111,922.0,platinum
112,924.2,platinum
113,931.95,platinum
114,944.0,platinum
115,947.8,platinum
116,933.95,platinum
117,940.4,platinum
118,941.95,platinum
119,949.9,platinum
120,944.4,platinum
121,950.4,platinum
122,949.55,platinum
123,961.95,platinum
124,963.7,platinum
125,956.55,platinum
126,941.35,platinum
127,949.95,platinum
128,932.15,platinum
129,955.35,platinum
130,952.2,platinum
131,954.8,platinum
132,962.4,platinum
133,945.8,platinum
134,940.4,platinum
135,940.4,platinum
136,939.0,platinum
137,944.35,platinum
138,928.25,platinum
139,938.1,platinum
140,922.6,platinum
141,929.85,platinum
142,927.15,platinum
143,924.85,platinum
144,924.2,platinum
145,928.95,platinum
146,926.8,platinum
147,929.75,platinum
148,931.1,platinum
149,919.25,platinum
150,921.2,platinum
151,922.55,platinum
152,923.8,platinum
153,927.7,platinum
154,929.6,platinum
155,907.35,platinum
156,917.0,platinum
157,911.2,platinum
158,910.05,platinum
159,909.0,platinum
160,909.8,platinum
161,902.55,platinum
162,904.6,platinum
163,917.85,platinum
164,906.95,platinum
165,923.45,platinum
166,925.5,platinum
167,925.15,platinum
168,930.05,platinum
169,923.65,platinum
170,928.85,platinum
171,937.8,platinum
172,938.35,platinum
173,931.8,platinum
174,926.4,platinum
175,931.45,platinum
176,928.8,platinum
177,937.85,platinum
178,938.8,platinum
179,941.65,platinum
180,946.95,platinum
181,949.4,platinum
182,965.95,platinum
183,967.85,platinum
184,966.25,platinum
185,970.15,platinum
186,975.9,platinum
187,978.25,platinum
188,986.3,platinum
189,987.8,platinum
190,987.0,platinum
